,Building_Painted,Building Dimension,Building_Type,Geo_Code,Claim,Windows,Building Dimensionis missing,Date_of_Occupancyis missing,Insured_time,Building_Class,Building_category,Building_age
27,V,1100.0,1,3190,0,2,False,False,4,modern,Rural Non-Residential,84.0
28,V,1200.0,1,3310,0,2,False,False,4,modern,Rural Non-Residential,76.0
29,V,552.0,1,3310,0,2,False,False,4,modern,Rural Non-Residential,62.0
30,V,900.0,1,3310,0,2,False,False,4,modern,Rural Non-Residential,84.0
31,V,370.0,2,4070,1,1,False,False,4,modern,Rural Non-Residential,31.0
32,V,1400.0,2,4070,0,1,False,False,4,modern,Rural Non-Residential,56.0
33,N,1000.0,2,4073,0,0,False,False,3,old,Urban Residential,56.0
34,V,480.0,2,4088,0,2,False,False,4,modern,Rural Non-Residential,82.0
35,V,1300.0,2,4094,0,1,False,False,1,modern,Rural Non-Residential,44.0
36,V,2900.0,2,4094,1,2,False,False,4,modern,Rural Non-Residential,34.0
37,N,1300.0,2,4112,0,0,False,False,4,old,Urban Non-Residential,26.0
38,N,1300.0,2,4112,0,0,False,False,4,old,Urban Non-Residential,25.0
39,N,1300.0,2,4112,0,0,False,False,4,old,Urban Non-Residential,27.0
40,N,1592.0,2,4126,0,0,False,False,4,old,Urban Non-Residential,32.0
41,N,1592.0,2,4126,0,0,False,False,4,old,Urban Non-Residential,33.0
42,V,450.0,2,4166,0,2,False,False,4,modern,Rural Non-Residential,34.0
43,N,480.0,2,4176,0,0,False,False,4,old,Urban Non-Residential,51.543595911004104
44,V,487.0,2,4197,0,1,False,False,4,modern,Rural Residential,35.0
45,V,1550.0,1,5004,1,2,False,False,4,modern,Rural Non-Residential,43.0
46,V,1550.0,1,5004,0,2,False,False,3,modern,Rural Non-Residential,44.0
47,V,650.0,1,5004,1,1,False,False,4,modern,Rural Residential,4.0
48,V,650.0,1,5004,0,1,False,False,4,modern,Rural Residential,5.0
49,V,2600.0,1,5023,1,2,False,False,4,modern,Rural Non-Residential,43.0
50,N,1314.0,1,5023,1,0,False,False,4,old,Urban Non-Residential,25.0
51,V,2960.0,1,5023,0,0,False,False,4,old,Urban Non-Residential,25.0
52,V,2960.0,1,5023,0,0,False,False,4,old,Urban Non-Residential,27.0
53,V,1386.0,1,5023,0,0,False,False,4,old,Urban Non-Residential,27.0
54,V,1100.0,1,5023,0,0,False,False,4,old,Urban Non-Residential,24.0
55,V,1100.0,1,5023,1,0,False,False,4,old,Urban Non-Residential,25.0
56,V,680.0,1,5023,0,1,False,False,4,modern,Rural Non-Residential,19.0
57,V,3325.0,1,5023,0,0,False,False,2,old,Urban Non-Residential,27.0
58,V,1254.0,1,5023,1,0,False,False,4,old,Urban Non-Residential,53.0
59,V,1000.0,1,5023,0,0,False,False,4,old,Urban Non-Residential,24.0
60,V,1842.0,1,5023,0,0,False,False,4,old,Urban Non-Residential,27.0
61,V,300.0,1,5026,0,0,False,False,1,old,Urban Non-Residential,35.0
62,V,1113.0,1,5026,0,0,False,False,4,old,Urban Non-Residential,25.0
63,V,310.0,1,5052,0,1,False,False,4,modern,Rural Non-Residential,83.0
64,N,736.0,1,5052,0,0,False,False,3,old,Urban Non-Residential,56.0
65,V,2050.0,1,5061,0,2,False,False,4,modern,Rural Non-Residential,6.0
66,V,2050.0,1,5061,0,2,False,False,4,modern,Rural Non-Residential,7.0
67,V,1262.0,1,5061,0,1,False,False,4,modern,Rural Residential,7.0
68,V,470.0,1,5061,0,0,False,False,4,old,Urban Non-Residential,52.0
69,V,2400.0,1,5061,0,0,False,False,4,old,Urban Non-Residential,34.0
70,V,4827.75,1,5061,1,3,False,False,4,modern,Rural Non-Residential,24.0
71,V,320.0,1,5061,0,0,False,False,4,old,Urban Non-Residential,54.0
72,V,425.0,1,5061,0,1,False,False,4,modern,Rural Non-Residential,32.0
73,V,1500.0,1,5065,0,0,False,False,4,old,Urban Non-Residential,24.0
74,V,900.0,1,5077,0,0,False,False,4,old,Urban Non-Residential,25.0
75,N,600.0,1,5077,0,0,False,False,4,old,Urban Non-Residential,24.0
76,N,2000.0,1,5085,0,0,False,False,3,old,Urban Non-Residential,28.0
77,N,1000.0,1,5085,0,0,False,False,4,old,Urban Non-Residential,24.0
78,N,1000.0,1,5085,0,0,False,False,4,old,Urban Non-Residential,25.0
79,N,1000.0,1,5085,0,0,False,False,3,old,Urban Non-Residential,28.0
80,V,1650.0,1,5110,0,0,False,False,4,old,Urban Non-Residential,36.0
81,V,850.0,1,5110,0,0,False,False,4,old,Urban Non-Residential,32.0
82,V,850.0,1,5110,0,0,False,False,4,old,Urban Non-Residential,35.0
83,V,2600.0,1,5110,0,0,False,False,3,old,Urban Non-Residential,28.0
84,N,3500.0,1,5110,1,0,False,False,4,old,Urban Non-Residential,25.0
85,N,260.0,1,5110,0,0,False,False,4,old,Urban Non-Residential,26.0
86,V,530.0,1,5133,0,2,False,False,4,modern,Rural Non-Residential,16.0
87,V,4700.0,1,5133,1,2,False,False,4,modern,Rural Non-Residential,44.0
88,N,838.0,1,5145,0,0,False,False,4,old,Urban Residential,55.0
89,N,1728.0,1,5161,0,0,False,False,4,old,Urban Non-Residential,25.0
90,V,1024.0,1,5168,0,0,False,False,4,old,Urban Non-Residential,53.0
91,V,1440.0,1,5177,0,2,False,False,4,modern,Rural Non-Residential,30.0
92,V,300.0,1,5177,0,0,False,False,4,old,Urban Non-Residential,32.0
93,V,1700.0,1,5177,0,0,False,False,0,old,Urban Non-Residential,32.0
94,V,1700.0,1,5177,0,0,False,False,0,old,Urban Non-Residential,36.0
95,V,3688.0,1,5177,1,4,False,False,4,modern,Rural Non-Residential,35.0
96,V,900.0,1,5177,0,2,False,False,4,modern,Rural Non-Residential,43.0
97,V,3000.0,1,5177,0,0,False,False,4,old,Urban Non-Residential,33.0
98,V,1170.0,1,5177,0,2,False,False,4,modern,Rural Non-Residential,41.0
99,V,2976.0,1,5177,0,4,False,False,3,modern,Rural Non-Residential,51.0
100,V,4101.0,1,5177,0,0,False,False,4,old,Urban Non-Residential,25.0
101,V,800.0,4,6004,0,2,False,False,4,modern,Rural Non-Residential,64.0
102,V,3100.0,4,6004,0,2,False,False,3,modern,Rural Non-Residential,35.0
103,V,320.0,4,6004,0,1,False,False,3,modern,Rural Non-Residential,45.0
104,V,2490.0,4,6004,1,2,False,False,2,modern,Rural Non-Residential,44.0
105,V,1670.0,4,6004,0,2,False,False,3,modern,Rural Non-Residential,41.0
106,V,900.0,4,6004,0,0,False,False,4,old,Urban Non-Residential,48.543595911004104
107,V,460.0,4,6004,0,2,False,False,4,modern,Rural Non-Residential,72.0
108,V,3500.0,4,6004,0,2,False,False,3,modern,Rural Non-Residential,86.0
109,N,14.0,4,6004,0,0,False,False,4,old,Urban Non-Residential,26.0
110,N,4827.75,4,6004,0,0,False,False,2,old,Urban Non-Residential,49.543595911004104
111,V,1200.0,4,6004,0,2,False,False,4,modern,Rural Non-Residential,15.0
112,N,10.0,4,6004,0,0,False,False,4,old,Urban Non-Residential,25.0
113,V,570.0,4,6004,0,1,False,False,4,modern,Rural Non-Residential,24.0
114,V,3522.0,4,6004,0,2,False,False,3,modern,Rural Non-Residential,13.0
115,V,650.0,4,6007,0,2,False,False,4,modern,Rural Non-Residential,23.0
116,V,650.0,4,6007,0,2,False,False,2,modern,Rural Non-Residential,25.0
117,V,4112.0,4,6011,1,3,False,False,4,modern,Rural Residential,48.0
118,V,4112.0,4,6011,0,2,False,False,4,modern,Rural Non-Residential,54.0
119,V,1470.0,4,6011,0,2,False,False,3,modern,Rural Non-Residential,46.0
120,N,600.0,4,6012,0,0,False,False,4,old,Urban Non-Residential,55.0
121,N,600.0,4,6012,1,0,False,False,3,old,Urban Non-Residential,56.0
122,N,380.0,4,6012,0,0,False,False,4,old,Urban Residential,53.0
123,N,460.0,4,6012,0,0,False,False,1,old,Urban Non-Residential,53.0
124,N,4827.75,4,6012,1,0,False,False,4,old,Urban Non-Residential,24.0
125,N,4827.75,4,6012,1,0,False,False,4,old,Urban Non-Residential,28.0
126,V,2800.0,4,6012,1,3,False,False,4,modern,Rural Residential,72.0
127,V,2800.0,4,6012,0,3,False,False,4,modern,Rural Residential,75.0
128,V,2800.0,4,6012,0,3,False,False,3,modern,Rural Residential,76.0
129,V,450.0,4,6012,0,2,False,False,4,modern,Rural Residential,82.0
130,V,1380.0,4,6012,0,2,False,False,4,modern,Rural Residential,54.0
131,V,428.0,4,6012,0,2,False,False,4,modern,Rural Non-Residential,82.0
132,V,1000.0,4,6012,0,2,False,False,4,modern,Rural Residential,75.0
133,V,1100.0,4,6012,0,3,False,False,4,modern,Rural Residential,82.0
134,V,520.0,4,6012,0,2,False,False,1,modern,Rural Residential,42.0
135,V,300.0,4,6012,1,1,False,False,4,modern,Rural Residential,83.0
136,V,300.0,4,6012,0,1,False,False,4,modern,Rural Residential,85.0
137,V,300.0,4,6012,0,1,False,False,4,modern,Rural Residential,86.0
138,V,3250.0,4,6012,1,3,False,False,4,modern,Rural Residential,21.0
139,V,1000.0,4,6012,0,2,False,False,4,modern,Rural Residential,39.0
140,V,660.0,4,6012,1,2,False,False,4,modern,Rural Residential,82.0
141,V,300.0,4,6012,0,2,False,False,4,modern,Rural Residential,85.0
142,V,550.0,4,6012,0,2,False,False,4,modern,Rural Residential,82.0
143,V,550.0,4,6012,1,2,False,False,4,modern,Rural Residential,84.0
144,V,1255.0,4,6012,1,2,False,False,4,modern,Rural Non-Residential,84.0
145,V,1255.0,4,6012,0,2,False,False,3,modern,Rural Non-Residential,85.0
146,V,4827.75,4,6012,1,2,False,False,4,modern,Rural Non-Residential,84.0
147,V,1800.0,4,6012,0,2,False,False,1,modern,Rural Residential,50.0
148,V,1800.0,4,6012,0,2,False,False,3,modern,Rural Residential,51.0
149,V,500.0,4,6012,0,2,False,False,4,modern,Rural Residential,73.0
150,N,1500.0,4,6012,1,0,False,False,4,old,Urban Non-Residential,34.0
151,V,1850.0,4,6012,0,2,False,False,4,modern,Rural Non-Residential,63.0
152,N,950.0,4,6012,1,0,False,False,4,old,Urban Residential,55.0
153,N,340.0,4,6012,0,0,False,False,4,old,Urban Residential,52.0
154,N,340.0,4,6012,0,0,False,False,4,old,Urban Residential,55.0
155,V,997.0,4,6012,0,2,False,False,3,modern,Rural Non-Residential,55.0
156,V,3336.0,4,6014,0,2,False,False,4,modern,Rural Residential,43.0
157,V,3270.0,4,6014,1,3,False,False,4,modern,Rural Non-Residential,33.0
158,V,3270.0,4,6014,0,3,False,False,4,modern,Rural Non-Residential,35.0
159,N,300.0,4,6016,0,0,False,False,2,old,Urban Non-Residential,53.0
160,N,2235.0,4,6027,0,0,False,False,4,old,Urban Residential,52.0
161,N,1400.0,4,6027,0,0,False,False,4,old,Urban Non-Residential,32.0
162,V,4827.75,4,6027,0,2,False,False,4,modern,Rural Residential,37.0
163,V,4827.75,4,6027,0,2,False,False,4,modern,Rural Residential,38.0
164,V,800.0,4,6027,1,2,False,False,4,modern,Rural Non-Residential,47.0
165,N,300.0,4,6029,0,0,False,False,2,old,Urban Non-Residential,53.0
166,N,4310.0,4,6029,1,0,False,False,4,old,Urban Non-Residential,48.543595911004104
167,N,2160.0,4,6029,1,0,False,False,4,old,Urban Non-Residential,32.0
168,V,650.0,4,6029,1,1,False,False,4,modern,Rural Non-Residential,55.0
169,V,210.0,4,6029,0,1,False,False,4,modern,Rural Non-Residential,82.0
170,V,4827.75,4,6029,1,3,False,False,4,modern,Rural Non-Residential,60.0
171,V,1696.0,4,6029,0,2,False,False,4,modern,Rural Non-Residential,6.0
172,V,740.0,4,6029,0,2,False,False,4,modern,Rural Non-Residential,75.0
173,V,3300.0,4,6029,0,1,False,False,1,modern,Rural Residential,59.0
174,V,350.0,4,6029,0,2,False,False,4,modern,Rural Non-Residential,53.0
175,V,400.0,4,6029,0,0,False,False,4,old,Urban Residential,32.0
176,V,1000.0,4,6029,1,0,False,False,0,old,Urban Non-Residential,49.543595911004104
177,V,162.0,4,6029,0,0,False,False,2,old,Urban Non-Residential,50.543595911004104
178,N,320.0,4,6029,0,0,False,False,4,old,Urban Non-Residential,54.0
179,N,320.0,4,6029,0,0,False,False,3,old,Urban Non-Residential,56.0
180,V,4827.75,4,6029,1,0,False,False,2,old,Urban Residential,35.0
181,V,1225.0,4,6029,1,0,False,False,4,old,Urban Non-Residential,52.0
182,N,400.0,4,6030,0,0,False,False,4,old,Urban Non-Residential,55.0
183,N,270.0,4,6030,0,0,False,False,2,old,Urban Non-Residential,33.0
184,V,740.0,4,6030,0,2,False,False,4,modern,Rural Non-Residential,42.0
185,V,1150.0,4,6030,0,1,False,False,4,modern,Rural Non-Residential,34.0
186,V,4200.0,4,6030,1,2,False,False,4,modern,Rural Non-Residential,27.0
187,V,100.0,4,6030,0,1,False,False,1,modern,Rural Non-Residential,85.0
188,N,900.0,4,6030,0,0,False,False,2,old,Urban Residential,25.0
189,N,4827.75,4,6030,1,0,False,False,4,old,Urban Residential,32.0
190,V,2625.0,4,6030,0,0,False,False,4,old,Urban Non-Residential,35.0
191,V,4827.75,4,6032,0,3,False,False,4,modern,Rural Non-Residential,6.0
192,V,270.0,4,6032,0,0,False,False,2,old,Urban Residential,54.0
193,N,3406.0,4,6032,0,0,False,False,4,old,Urban Non-Residential,24.0
194,V,3700.0,4,6032,1,3,False,False,4,modern,Rural Non-Residential,27.0
195,V,3700.0,4,6032,1,3,False,False,4,modern,Rural Non-Residential,30.0
196,V,3369.0,4,6032,0,1,False,False,1,modern,Rural Non-Residential,3.0
197,V,3369.0,4,6032,1,1,False,False,4,modern,Rural Non-Residential,4.0
198,V,3369.0,4,6032,1,1,False,False,4,modern,Rural Non-Residential,5.0
199,V,4827.75,4,6032,0,0,False,False,1,old,Urban Non-Residential,33.0
200,V,4827.75,4,6032,1,0,False,False,4,old,Urban Non-Residential,34.0
201,V,1300.0,4,6032,1,0,False,False,4,old,Urban Non-Residential,33.0
202,V,1300.0,4,6032,0,0,False,False,2,old,Urban Non-Residential,34.0
203,V,4000.0,4,6033,1,2,False,False,4,modern,Rural Residential,33.0
204,V,4000.0,4,6033,0,2,False,False,4,modern,Rural Residential,34.0
205,V,171.0,4,6035,1,1,False,False,4,modern,Rural Non-Residential,83.0
206,V,171.0,4,6035,0,1,False,False,4,modern,Rural Non-Residential,85.0
207,V,570.0,4,6036,0,1,False,False,4,modern,Rural Non-Residential,53.0
208,N,65.0,4,6036,0,0,False,False,4,old,Urban Non-Residential,54.0
209,V,367.0,4,6044,0,2,False,False,3,modern,Rural Non-Residential,31.0
210,N,200.0,4,6048,1,0,False,False,4,old,Urban Residential,53.0
211,N,400.0,4,6057,1,0,False,False,4,old,Urban Residential,52.0
212,N,400.0,4,6067,0,0,False,False,4,old,Urban Non-Residential,33.0
213,N,400.0,4,6067,0,0,False,False,4,old,Urban Non-Residential,36.0
214,V,400.0,4,6069,0,2,False,False,4,modern,Rural Non-Residential,72.0
215,V,400.0,4,6069,0,2,False,False,4,modern,Rural Non-Residential,76.0
216,V,400.0,4,6069,0,2,False,False,4,modern,Rural Non-Residential,82.0
217,V,4827.75,4,6069,1,2,False,False,4,modern,Rural Non-Residential,37.0
218,V,250.0,4,6069,0,2,False,False,4,modern,Rural Non-Residential,82.0
219,V,750.0,4,6069,0,1,False,False,4,modern,Rural Non-Residential,84.0
220,V,400.0,4,6069,0,0,False,False,1,old,Urban Non-Residential,53.0
221,V,660.0,4,6069,1,2,False,False,4,modern,Rural Non-Residential,66.0
222,V,1100.0,4,6069,0,1,False,False,4,modern,Rural Non-Residential,35.0
223,V,530.0,4,6069,0,2,False,False,4,modern,Rural Non-Residential,64.0
224,V,3269.0,4,6070,0,2,False,False,4,modern,Rural Non-Residential,37.0
225,V,3269.0,4,6070,1,2,False,False,4,modern,Rural Non-Residential,39.0
226,V,3269.0,4,6070,0,2,False,False,4,modern,Rural Non-Residential,40.0
227,N,300.0,4,6073,0,0,False,False,0,old,Urban Non-Residential,48.543595911004104
228,V,640.0,4,6077,0,2,False,False,4,modern,Rural Non-Residential,62.0
229,N,530.0,4,6079,0,0,False,False,4,old,Urban Non-Residential,35.0
230,V,450.0,4,6079,0,1,False,False,4,modern,Rural Non-Residential,53.0
231,V,3800.0,4,6079,0,3,False,False,4,modern,Rural Non-Residential,53.0
232,V,1140.0,4,6079,1,1,False,False,1,modern,Rural Residential,26.0
233,V,400.0,4,6083,0,2,False,False,4,modern,Rural Non-Residential,53.0
234,N,130.0,4,6083,0,0,False,False,4,old,Urban Non-Residential,52.0
235,N,243.0,4,6083,0,0,False,False,4,old,Urban Non-Residential,52.0
236,N,243.0,4,6083,0,0,False,False,2,old,Urban Non-Residential,53.0
237,V,2106.0,4,6083,1,0,False,False,4,old,Urban Residential,32.0
238,N,1842.0,4,6083,0,0,False,False,4,old,Urban Residential,25.0
239,V,2713.0,4,6083,0,0,False,False,2,old,Urban Residential,32.0
240,V,500.0,4,6083,0,2,False,False,4,modern,Rural Non-Residential,65.0
241,N,614.0,4,6083,0,0,False,False,4,old,Urban Non-Residential,32.0
242,V,1370.0,4,6083,0,2,False,False,4,modern,Rural Non-Residential,6.0
243,V,1370.0,4,6083,0,2,False,False,4,modern,Rural Non-Residential,7.0
244,N,430.0,4,6083,0,0,False,False,4,old,Urban Non-Residential,55.0
245,N,1563.0,4,6083,0,0,False,False,4,old,Urban Non-Residential,34.0
246,N,250.0,4,6083,0,0,False,False,4,old,Urban Non-Residential,53.0
247,N,1350.0,4,6083,0,0,False,False,2,old,Urban Non-Residential,33.0
248,N,480.0,4,6083,0,0,False,False,4,old,Urban Non-Residential,54.0
249,N,480.0,4,6083,0,0,False,False,4,old,Urban Non-Residential,55.0
250,N,1600.0,4,6083,0,0,False,False,4,old,Urban Non-Residential,54.0
251,N,4827.75,4,6083,1,0,False,False,4,old,Urban Non-Residential,26.0
252,V,1000.0,4,6083,0,2,False,False,3,modern,Rural Non-Residential,44.0
253,V,2000.0,4,6083,0,2,False,False,1,modern,Rural Non-Residential,43.0
254,V,2880.0,4,6083,1,3,False,False,3,modern,Rural Non-Residential,46.0
255,V,3343.0,4,6083,0,3,False,False,4,modern,Rural Non-Residential,45.0
256,V,4827.75,4,6083,0,4,False,False,4,modern,Rural Non-Residential,42.0
257,V,1853.0,4,6083,0,0,False,False,4,old,Urban Residential,25.0
258,V,4827.75,4,6083,0,2,False,False,1,modern,Rural Residential,29.0
259,V,518.0,4,6083,1,2,False,False,4,modern,Rural Non-Residential,6.0
260,V,3120.0,4,6083,0,2,False,False,4,modern,Rural Non-Residential,15.0
261,V,3120.0,4,6083,1,2,False,False,4,modern,Rural Non-Residential,16.0
262,V,450.0,4,6083,0,2,False,False,4,modern,Rural Non-Residential,84.0
263,V,4827.75,4,6083,0,2,False,False,4,modern,Rural Non-Residential,44.0
264,V,4827.75,4,6083,1,2,False,False,4,modern,Rural Non-Residential,46.0
265,V,450.0,4,6083,0,1,False,False,4,modern,Rural Non-Residential,55.0
266,V,1300.0,4,6083,1,2,False,False,4,modern,Rural Non-Residential,52.0
267,V,254.0,4,6083,1,1,False,False,4,modern,Rural Non-Residential,82.0
268,V,1050.0,4,6083,0,2,False,False,4,modern,Rural Non-Residential,53.0
269,V,4500.0,4,6083,0,3,False,False,4,modern,Rural Non-Residential,3.0
270,V,700.0,4,6083,1,1,False,False,4,modern,Rural Non-Residential,54.0
271,V,2712.0,4,6083,0,2,False,False,1,modern,Rural Residential,42.0
272,V,2712.0,4,6083,0,2,False,False,4,modern,Rural Residential,45.0
273,V,300.0,4,6083,0,1,False,False,4,modern,Rural Non-Residential,83.0
274,V,1120.0,4,6083,0,1,False,False,2,modern,Rural Residential,5.0
275,V,4827.75,4,6083,1,2,False,False,4,modern,Rural Non-Residential,34.0
276,V,4500.0,4,6083,1,2,False,False,3,modern,Rural Non-Residential,36.0
277,V,2659.0,4,6083,0,2,False,False,2,modern,Rural Residential,54.0
278,V,450.0,4,6083,0,1,False,False,2,modern,Rural Residential,86.0
279,V,300.0,4,6083,0,1,False,False,1,modern,Rural Residential,86.0
280,V,500.0,4,6083,0,2,False,False,4,modern,Rural Non-Residential,82.0
281,V,1619.0,4,6083,0,0,False,False,3,old,Urban Non-Residential,36.0
282,V,826.0,4,6083,1,0,False,False,4,old,Urban Non-Residential,32.0
283,V,826.0,4,6083,0,0,False,False,3,old,Urban Non-Residential,36.0
284,V,1365.0,4,6083,0,0,False,False,4,old,Urban Non-Residential,54.0
285,V,184.0,4,6083,0,2,False,False,4,modern,Rural Non-Residential,52.0
286,V,970.0,4,6083,0,2,False,False,4,modern,Rural Non-Residential,64.0
287,V,686.0,4,6083,0,0,False,False,4,old,Urban Non-Residential,55.0
288,V,900.0,4,6083,0,2,False,False,4,modern,Rural Non-Residential,58.0
289,V,3508.0,4,6083,1,3,False,False,4,modern,Rural Non-Residential,38.0
290,V,2900.0,4,6083,1,0,False,False,4,old,Urban Non-Residential,52.0
291,V,2900.0,4,6083,1,0,False,False,4,old,Urban Non-Residential,53.0
292,V,4827.75,4,6083,0,0,False,False,3,old,Urban Non-Residential,36.0
293,V,2034.0,4,6083,0,3,False,False,4,modern,Rural Non-Residential,43.0
294,N,4827.75,4,6083,0,0,False,False,4,old,Urban Non-Residential,34.0
295,V,4827.75,4,6083,1,0,False,False,4,old,Urban Non-Residential,55.0
296,V,4286.0,4,6083,1,0,False,False,4,old,Urban Non-Residential,54.0
297,V,1700.0,4,6083,0,0,False,False,4,old,Urban Non-Residential,52.0
298,V,1500.0,4,6083,1,0,False,False,4,old,Urban Non-Residential,35.0
299,V,4827.75,4,6083,1,3,False,False,4,modern,Rural Non-Residential,34.0
300,N,300.0,4,6083,0,0,False,False,4,old,Urban Non-Residential,33.0
301,V,4176.0,4,6083,0,0,False,False,4,old,Urban Non-Residential,24.0
302,V,4176.0,4,6083,0,0,False,False,4,old,Urban Non-Residential,25.0
303,V,3400.0,4,6083,1,2,False,False,4,modern,Rural Non-Residential,53.0
304,V,500.0,4,6083,1,2,False,False,3,modern,Rural Non-Residential,53.0
305,V,500.0,4,6083,0,2,False,False,4,modern,Rural Non-Residential,56.0
306,V,3501.0,4,6083,0,2,False,False,4,modern,Rural Non-Residential,33.0
307,V,1325.0,4,6083,0,0,False,False,4,old,Urban Residential,33.0
308,V,1325.0,4,6083,1,0,False,False,4,old,Urban Residential,34.0
309,V,4827.75,4,6083,1,2,False,False,4,modern,Rural Non-Residential,22.0
310,V,20.0,4,6083,0,0,False,False,4,old,Urban Non-Residential,25.0
311,V,20.0,4,6083,0,0,False,False,4,old,Urban Non-Residential,27.0
312,V,441.0,4,6083,0,2,False,False,4,modern,Rural Non-Residential,56.0
313,V,1137.0,4,6083,1,2,False,False,4,modern,Rural Non-Residential,52.0
314,N,250.0,4,6083,0,0,False,False,4,old,Urban Residential,55.0
315,N,418.0,4,6083,0,0,False,False,4,old,Urban Residential,54.0
316,N,860.0,4,6083,0,0,False,False,4,old,Urban Non-Residential,36.0
317,N,500.0,4,6083,0,0,False,False,1,old,Urban Non-Residential,55.0
318,V,3873.0,4,6083,0,0,False,False,2,old,Urban Non-Residential,26.0
319,V,3708.0,4,6083,0,3,False,False,4,modern,Rural Non-Residential,42.0
320,V,700.0,4,6083,1,2,False,False,4,modern,Rural Non-Residential,38.0
321,V,4827.75,4,6083,1,0,False,False,4,old,Urban Non-Residential,33.0
322,N,1080.0,4,6083,0,0,False,False,4,old,Urban Residential,55.0
323,V,1446.0,4,6083,1,2,False,False,4,modern,Rural Non-Residential,65.0
324,N,357.0,4,6083,0,0,False,False,4,old,Urban Residential,54.0
325,V,2230.0,4,6083,0,2,False,False,4,modern,Rural Non-Residential,56.0
326,V,1500.0,4,6083,0,2,False,False,4,modern,Rural Non-Residential,86.0
327,V,4700.0,4,6083,1,0,False,False,4,old,Urban Non-Residential,33.0
328,V,3757.0,4,6083,1,2,False,False,4,modern,Rural Non-Residential,54.0
329,V,3043.0,4,6083,0,0,False,False,4,old,Urban Non-Residential,34.0
330,N,317.0,4,6083,0,0,False,False,3,old,Urban Non-Residential,36.0
331,N,1702.0,4,6083,0,0,False,False,4,old,Urban Residential,52.0
332,V,860.0,4,6083,1,0,False,False,4,old,Urban Non-Residential,32.0
333,N,400.0,4,6083,0,0,False,False,4,old,Urban Non-Residential,32.0
334,V,3450.0,4,6083,0,3,False,False,1,modern,Rural Non-Residential,10.0
335,V,3510.0,4,6083,1,0,False,False,4,old,Urban Non-Residential,33.0
336,V,1565.0,4,6083,0,0,False,False,4,old,Urban Non-Residential,52.0
337,V,4300.0,4,6083,1,2,False,False,4,modern,Rural Non-Residential,72.0
338,V,4300.0,4,6083,0,2,False,False,3,modern,Rural Non-Residential,76.0
339,V,4827.75,4,6083,1,3,False,False,4,modern,Rural Non-Residential,84.0
340,V,4827.75,4,6083,1,3,False,False,4,modern,Rural Non-Residential,85.0
341,N,1500.0,4,6083,0,0,False,False,4,old,Urban Residential,55.0
342,V,2857.0,4,6083,1,3,False,False,3,modern,Rural Non-Residential,66.0
343,V,1178.0,4,6083,0,0,False,False,4,old,Urban Non-Residential,33.0
344,N,4827.75,4,6083,1,0,False,False,4,old,Urban Non-Residential,33.0
345,V,260.0,4,6083,0,0,False,False,4,old,Urban Non-Residential,34.0
346,V,60.0,4,6084,0,0,False,False,4,old,Urban Non-Residential,24.0
347,V,400.0,4,6085,0,1,False,False,4,modern,Rural Non-Residential,31.0
348,N,279.0,4,6088,0,0,False,False,4,old,Urban Residential,33.0
